Conversation 0|Jeff intro
Agent Adams|Jeff right? You're one of Carol's friends.
Jeff|Yeah, what do you want?
Agent Adams|Did you know that Carol told the CEO she thought the sensitivity training you gave last year was "amateurish"?
Jeff|LIAR!
;Conversation 1|Jeff Death
Jeff|What you said earlier... was it true?
Agent Adams|Afraid so.
Jeff|That [redacted] [redacted] little [redacted]!
Jeff|I gave the most [redacted] professional sensitivity training she's ever [redacted] seen.
;Conversation 2|Harold Intro
Agent Adams|Carol's been lying to you. She never watched Jojo.
Harold|Impossible! She references it all the time!
;Conversation 3|Harold Death
Harold|But all those references...
Agent Adams|All unintentional.
Harold|No... how could she?
;Conversation 4|Kill Arnold
Agent Adams|Carol's Linkedin post titled "The ROI of Patience: Why I Didn't fire THAT Guy Today" was about you.
Arnold|I knew it. She is dead to me. 
