Conversation 0|
Carol|You think you can stop me? Not even the IRS can defeat the greatest power of all!
Agent Adams|Compound interest?
Carol|What? No! The Power of Friendship!
;Conversation 1|
Carol|What did you do? I feel my power has been diminished.
Agent Adams|I audited your friendships. They didn’t pass.
Carol|How dare you! I will destroy you!
;Conversation 2|
Carol|Nani? My Power of Frienship… it’s gone.
Agent Adams|You shouldn’t have cheated on your taxes.
Carol|This is low, even for your kind.
Agent Adams|Then you do not know my kind very well.
